"Question"                               ,"Domanda"
"Answer"                                 ,"Risposta"
"Written by"                             ,"Scritto da"
"Show less answers"                      ,"Mostra meno risposte"
"Show more answers"                      ,"Mostra piu risposte"
"Waiting for answer"                     ,"In attesa di risposta"
"Make your question"                     ,"Fai la tua domanda"
"Write your question"                    ,"Scrivi qui la tua domanda"
"Show questions"                         ,"Mostra domande"
"Reply"                                  ,"Rispondi"
"Questions & Answers from customers"     ,"Domande e Risposte dei clienti"
"There is no demand for this product yet","Non sono ancora presenti domanda per questo prodotto"